Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, annual crop, EG",,8.21288003,m2a,,8.21E-17,m2a
Raw,(unspecified),"Occupation, annual crop, EH",,1.08113228,m2a,,1.08E-16,m2a
Raw,(unspecified),"Occupation, annual crop, ER",,9.67733215,m2a,,9.68E-16,m2a
Raw,(unspecified),"Occupation, annual crop, ES",,7.17469144,m2a,,7.17E-15,m2a
Raw,(unspecified),"Occupation, annual crop, ET",,1.81277052,m2a,,1.81E-15,m2a
Raw,(unspecified),"Occupation, annual crop, FI",,6.03085826,m2a,,6.03E-17,m2a
Raw,(unspecified),"Occupation, annual crop, FJ",,1.06247479,m2a,,1.06E-13,m2a
Raw,(unspecified),"Occupation, annual crop, FK",,7.42307198,m2a,,7.42E-16,m2a
Raw,(unspecified),"Occupation, annual crop, flooded crop",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, FM",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, FO",,1.92531670,m2a,,1.92532E-15,m2a
Raw,(unspecified),"Occupation, annual crop, FR",,1.35389481,m2a,,1.35E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GA",,2.89831500,m2a,,2.90E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GB",,2.37665524,m2a,,2.38E-16,m2a
Raw,(unspecified),"Occupation, annual crop, GD",,3.00186006,m2a,,3.00E-13,m2a
Raw,(unspecified),"Occupation, annual crop, GE",,3.54486702,m2a,,3.54E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GF",,2.52304892,m2a,,2.52E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GH",,2.16920973,m2a,,2.17E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GI",,4.47559566,m2a,,4.48E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GL",,7.66383812,m2a,,7.66384E-18,m2a
Raw,(unspecified),"Occupation, annual crop, GM",,6.58928168,m2a,,6.59E-16,m2a
Raw,(unspecified),"Occupation, annual crop, GN",,2.08396135,m2a,,2.08E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GP",,3.29871703,m2a,,3.30E-13,m2a
Raw,(unspecified),"Occupation, annual crop, GQ",,7.72134552,m2a,,7.72E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GR",,6.26616227,m2a,,6.27E-15,m2a
Raw,(unspecified),"Occupation, annual crop, greenhouse",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GS",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GT",,1.89587894,m2a,,1.90E-14,m2a
Raw,(unspecified),"Occupation, annual crop, GU",,4.46973548,m2a,,4.47E-13,m2a
Raw,(unspecified),"Occupation, annual crop, GW",,1.12570001,m2a,,1.13E-15,m2a
Raw,(unspecified),"Occupation, annual crop, GY",,3.25983558,m2a,,3.26E-15,m2a
Raw,(unspecified),"Occupation, annual crop, HK",,1.26604172,m2a,,1.27E-15,m2a
Raw,(unspecified),"Occupation, annual crop, HM",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, HN",,1.66485905,m2a,,1.66E-14,m2a
Raw,(unspecified),"Occupation, annual crop, HR",,2.43372375,m2a,,2.43E-15,m2a
Raw,(unspecified),"Occupation, annual crop, HT",,7.46456101,m2a,,7.46E-14,m2a
Raw,(unspecified),"Occupation, annual crop, HU",,2.69178365,m2a,,2.69E-16,m2a
Raw,(unspecified),"Occupation, annual crop, ID",,1.18048358,m2a,,1.18E-14,m2a
Raw,(unspecified),"Occupation, annual crop, IE",,1.83150723,m2a,,1.83E-16,m2a
Raw,(unspecified),"Occupation, annual crop, IL",,1.45833932,m2a,,1.46E-15,m2a
Raw,(unspecified),"Occupation, annual crop, IM",,1.63034717,m2a,,1.63E-16,m2a
Raw,(unspecified),"Occupation, annual crop, IN",,3.58433624,m2a,,3.58E-15,m2a
Raw,(unspecified),"Occupation, annual crop, integrated",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, IO",,3.23697014,m2a,,3.24E-13,m2a
Raw,(unspecified),"Occupation, annual crop, IQ",,2.60100888,m2a,,2.60E-16,m2a
Raw,(unspecified),"Occupation, annual crop, IR",,7.68414994,m2a,,7.68E-16,m2a
Raw,(unspecified),"Occupation, annual crop, irrigated",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, irrigated, extensive",,2.44503832,m2a,,2.45E-15,m2a
Raw,(unspecified),"Occupation, annual crop, irrigated, intensive",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, IS",,8.49661221,m2a,,8.49661E-17,m2a
Raw,(unspecified),"Occupation, annual crop, IT",,4.71666142,m2a,,4.72E-15,m2a
Raw,(unspecified),"Occupation, annual crop, JE",,2.12012993,m2a,,2.12E-16,m2a
Raw,(unspecified),"Occupation, annual crop, JM",,2.07488496,m2a,,2.07E-13,m2a
Raw,(unspecified),"Occupation, annual crop, JO",,5.68484968,m2a,,5.68E-16,m2a
Raw,(unspecified),"Occupation, annual crop, JP",,6.91035043,m2a,,6.91E-15,m2a
