Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","12041","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","12277","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","89085","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","22478","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","25523","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","23849","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","46917","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","8874","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","3387","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","13920","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","21218","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","21218","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","32902","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","13655","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","26667","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","21818","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","42037","A","Official figure",""
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","13405","E","Estimated value",""
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","6572","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","41080","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","6052","E","Estimated value",""
"QCL","Crops and livestock products","233","Estonia","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","24698","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","22930","E","Estimated value",""
"QCL","Crops and livestock products","246","Finland","5419","Yield","01702","Broad beans and horse beans, dry","2022","2022","100 g/ha","19059","A","Official figure",""
