Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","044","Bahamas","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","79057","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","137511","A","Official figure",""
"QCL","Crops and livestock products","052","Barbados","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","79432","E","Estimated value",""
"QCL","Crops and livestock products","084","Belize","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","12180","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","7097","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","144805","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","17531","E","Estimated value",""
"QCL","Crops and livestock products","132","Cabo Verde","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","35395","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","53316","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","23430","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","105057","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","105715","E","Estimated value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","91014","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","60939","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","28356","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","34789","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","17336","E","Estimated value",""
"QCL","Crops and livestock products","188","Costa Rica","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","131370","E","Estimated value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","30787","E","Estimated value",""
"QCL","Crops and livestock products","192","Cuba","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","49765","E","Estimated value",""
"QCL","Crops and livestock products","212","Dominica","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","28042","E","Estimated value",""
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","89216","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","57558","E","Estimated value",""
"QCL","Crops and livestock products","222","El Salvador","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","298613","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","18242","E","Estimated value",""
"QCL","Crops and livestock products","242","Fiji","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","59609","A","Official figure",""
"QCL","Crops and livestock products","258","French Polynesia","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","35096","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","64694","E","Estimated value",""
"QCL","Crops and livestock products","308","Grenada","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","35578","E","Estimated value",""
"QCL","Crops and livestock products","320","Guatemala","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","50117","E","Estimated value",""
"QCL","Crops and livestock products","324","Guinea","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","38446","E","Estimated value",""
"QCL","Crops and livestock products","624","Guinea-Bissau","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","35312","E","Estimated value",""
"QCL","Crops and livestock products","328","Guyana","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","15229","E","Estimated value",""
"QCL","Crops and livestock products","332","Haiti","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","38508","E","Estimated value",""
"QCL","Crops and livestock products","340","Honduras","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","87813","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","61825","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","61614","E","Estimated value",""
"QCL","Crops and livestock products","388","Jamaica","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","62593","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","10373","E","Estimated value",""
"QCL","Crops and livestock products","296","Kiribati","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","62709","E","Estimated value",""
"QCL","Crops and livestock products","430","Liberia","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","27346","E","Estimated value",""
"QCL","Crops and livestock products","450","Madagascar","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","15234","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","83199","A","Official figure",""
"QCL","Crops and livestock products","462","Maldives","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","42189","E","Estimated value",""
"QCL","Crops and livestock products","584","Marshall Islands","5419","Yield","01460","Coconuts, in shell","2022","2022","100 g/ha","34423","E","Estimated value",""
