Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.4","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","999.82","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01929.01","Flax, raw or retted","2022","2022","t","18.84","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.13","A","Official figure",""
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","70.05","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","29087.9","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01929.01","Flax, raw or retted","2022","2022","t","1253.84","A","Official figure",""
"TCL","Crops and livestock products","064","Bhutan","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.08","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.02","I","Imputed value",""
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","14.61","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01929.01","Flax, raw or retted","2022","2022","t","685.83","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","462.24","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","458.91","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","3.33","A","Official figure",""
"TCL","Crops and livestock products","184","Cook Islands","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.03","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","186.58","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","108.69","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","0.53","A","Official figure",""
"TCL","Crops and livestock products","212","Dominica","5910","Export Quantity","01929.01","Flax, raw or retted","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","01929.01","Flax, raw or retted","2022","2022","t","85.93","I","Imputed value",""
