Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","48.16","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.69","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","258.97","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","10.63","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","13.94","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.29","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.03","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","59.84","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","619.98","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","224.2","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.03","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","7.32","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","537.65","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.09","A","Official figure",""
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.61","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","149.9","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.98","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","1762.86","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","543.84","A","Official figure",""
"TCL","Crops and livestock products","084","Belize","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.22","A","Official figure",""
"TCL","Crops and livestock products","064","Bhutan","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","5.79","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","102.22","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","11.65","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","150.03","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","39.98","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","57.29","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","56.05","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","222.73","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","9000","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.28","A","Official figure",""
"TCL","Crops and livestock products","132","Cabo Verde","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.44","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","56.43","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","1296.56","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","249.69","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","19.85","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","509.21","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","1554.6","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","474.87","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","15.14","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","26.87","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","1348.02","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","7.47","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","191.44","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.72","A","Official figure",""
"TCL","Crops and livestock products","178","Congo","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","184","Cook Islands","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.09","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","188","Costa Rica","5610","Import Quantity","01243","Broad beans and horse beans, green","2022","2022","t","0.01","A","Official figure",""
