Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01351.01","Currants","2022","2022","t","1.66","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01351.01","Currants","2022","2022","t","1.83","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01351.01","Currants","2022","2022","t","5.24","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01351.01","Currants","2022","2022","t","1.09","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01351.01","Currants","2022","2022","t","187.01","I","Imputed value",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01351.01","Currants","2022","2022","t","138.74","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01351.01","Currants","2022","2022","t","1.88","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","01351.01","Currants","2022","2022","t","129.52","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01351.01","Currants","2022","2022","t","10.53","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01351.01","Currants","2022","2022","t","62.31","A","Official figure",""
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","01351.01","Currants","2022","2022","t","64.56","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.17","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01351.01","Currants","2022","2022","t","252.35","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01351.01","Currants","2022","2022","t","811.2","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01351.01","Currants","2022","2022","t","613.7","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.34","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5910","Export Quantity","01351.01","Currants","2022","2022","t","18.38","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01351.01","Currants","2022","2022","t","8.07","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01351.01","Currants","2022","2022","t","2.18","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.08","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01351.01","Currants","2022","2022","t","97.17","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01351.01","Currants","2022","2022","t","26.63","A","Official figure",""
"TCL","Crops and livestock products","132","Cabo Verde","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.7","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01351.01","Currants","2022","2022","t","8.65","I","Imputed value",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01351.01","Currants","2022","2022","t","8.31","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.51","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01351.01","Currants","2022","2022","t","2.75","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.75","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5610","Import Quantity","01351.01","Currants","2022","2022","t","2","A","Official figure",""
"TCL","Crops and livestock products","184","Cook Islands","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.46","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","184","Cook Islands","5910","Export Quantity","01351.01","Currants","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","384","Côte d'Ivoire","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.7","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","01351.01","Currants","2022","2022","t","12.43","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.21","A","Official figure",""
"TCL","Crops and livestock products","192","Cuba","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","192","Cuba","5910","Export Quantity","01351.01","Currants","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","196","Cyprus","5610","Import Quantity","01351.01","Currants","2022","2022","t","4.45","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5610","Import Quantity","01351.01","Currants","2022","2022","t","110.08","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5910","Export Quantity","01351.01","Currants","2022","2022","t","501.87","A","Official figure",""
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5610","Import Quantity","01351.01","Currants","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","208","Denmark","5610","Import Quantity","01351.01","Currants","2022","2022","t","81.86","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5910","Export Quantity","01351.01","Currants","2022","2022","t","1238.16","A","Official figure",""
"TCL","Crops and livestock products","262","Djibouti","5610","Import Quantity","01351.01","Currants","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","214","Dominican Republic","5910","Export Quantity","01351.01","Currants","2022","2022","t","35.54","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.13","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5610","Import Quantity","01351.01","Currants","2022","2022","t","23.51","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5910","Export Quantity","01351.01","Currants","2022","2022","t","20.88","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.79","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","234","Faroe Islands","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.81","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","01351.01","Currants","2022","2022","t","65.31","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","01351.01","Currants","2022","2022","t","955.63","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","01351.01","Currants","2022","2022","t","292.6","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5610","Import Quantity","01351.01","Currants","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5610","Import Quantity","01351.01","Currants","2022","2022","t","3.79","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5910","Export Quantity","01351.01","Currants","2022","2022","t","74.19","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","01351.01","Currants","2022","2022","t","4775.53","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","01351.01","Currants","2022","2022","t","335.96","A","Official figure",""
"TCL","Crops and livestock products","288","Ghana","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.05","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","01351.01","Currants","2022","2022","t","153.89","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","01351.01","Currants","2022","2022","t","4.13","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.07","A","Official figure",""
"TCL","Crops and livestock products","328","Guyana","5610","Import Quantity","01351.01","Currants","2022","2022","t","17.1","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","348","Hungary","5610","Import Quantity","01351.01","Currants","2022","2022","t","28.35","A","Official figure",""
"TCL","Crops and livestock products","348","Hungary","5910","Export Quantity","01351.01","Currants","2022","2022","t","0.88","A","Official figure",""
"TCL","Crops and livestock products","356","India","5610","Import Quantity","01351.01","Currants","2022","2022","t","117.68","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export Quantity","01351.01","Currants","2022","2022","t","256.53","A","Official figure",""
"TCL","Crops and livestock products","360","Indonesia","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.23","A","Official figure",""
"TCL","Crops and livestock products","364","Iran (Islamic Republic of)","5910","Export Quantity","01351.01","Currants","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.07","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","01351.01","Currants","2022","2022","t","232.41","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","01351.01","Currants","2022","2022","t","2.54","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","01351.01","Currants","2022","2022","t","2014.66","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","01351.01","Currants","2022","2022","t","88.45","A","Official figure",""
"TCL","Crops and livestock products","388","Jamaica","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.06","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5610","Import Quantity","01351.01","Currants","2022","2022","t","11.93","A","Official figure",""
"TCL","Crops and livestock products","398","Kazakhstan","5610","Import Quantity","01351.01","Currants","2022","2022","t","135.28","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","01351.01","Currants","2022","2022","t","0.21","A","Official figure",""
