Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","114.35","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","33.3","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","285.23","I","Imputed value",""
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","123.81","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5910","Export Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","27.62","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","234.22","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","33.2","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","17.02","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","1179.42","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","64.8","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","731.32","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","408.69","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","116.1","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","01655","Cinnamon and cinnamon-tree flowers, raw","2022","2022","t","0","A","Official figure",""
