Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","377.39","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","1459.7","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","0.1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","13.47","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","0.49","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","140.83","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","34.66","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","22.16","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","0.3","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","2635.35","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","612.93","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","1307.01","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","0.3","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","0.37","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","306.48","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","01373","Chestnuts, in shell","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","0.92","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01373","Chestnuts, in shell","2022","2022","t","777.44","A","Official figure",""
